body,title,url
"Tras conocerse la noticia de la muerte de uno de los últimos juglares de la música de acordeón sabanera, el mundo del folclore se volcó para despedir al maestro Adolfo Rafael Pacheco Anillo, compositor de temas como 'La hamaca grande', 'El mochuelo', 'Mercedes' y 'El viejo Migue', entre otros.(Lea también: Falleció el juglar Adolfo Pachecho tras accidente de tránsito)En las redes sociales varios personajes de la música, así como entidades culturales aprovecharon para decirle adiós al 'Juglar de los Montes de María'.",El compositor bolivarense Adolfo Pacheco Anillo.,https://eltiempo.com/colombia/barranquilla/el-mundo-del-folclor-despide-al-juglar-adolfo-pacheco-anillo-737522
"Si hay un área en el que Colombia puede mostrar avances fundamentales en este siglo, y muy particularmente a partir del año 2010, es en la protección en salud para sus habitantes. No solo alcanzamos la cobertura universal –más del 95 % de la población tiene alguna clase de aseguramiento en salud–, sino que consagramos la salud como un derecho fundamental y unificamos los planes obligatorios de salud para que no existan más pacientes de primera y de segunda clase.",El expresidente Juan Manuel Santos logrÃ³ que se expidiera la Ley Estatutaria de Salud.,https://eltiempo.com/salud/aparte-del-libro-de-juan-manuel-santos-que-publicara-la-u-de-oxford-737496
"Este sábado 28 de enero se está llevando a cabo la primera Jornada de Vacunación de 2023 a nivel nacional. Para tal propósito, el Ministerio de Salud dispuso más de 2.500 puntos de atención para que la población acceda a fármacos que hacen parte del Programa Ampliado de Inmunizaciones (PAI), y también contra el covid-19. (Siga leyendo: La OMS examina si mantiene máximo nivel de alerta por el coronavirus).",BogotÃ¡ tendrÃ¡ mÃ¡s de 200 puestos habilitados por toda la ciudad. ,https://eltiempo.com/salud/puntos-de-vacunacion-gratuita-en-bogota-medellin-y-cartagena-28-de-enero-737524
"Acostumbrado a ser noticia y tendencia en redes por sus victorias, Nairo Quintana estuvo en boca de todos esta semana por motivos que, desafortunadamente, no tienen que ver con su incuestionable talento.",El laberinto de Nairo,https://eltiempo.com/opinion/editorial/el-laberinto-de-nairo-editorial-el-tiempo-737460
"La abogada de Ashley Shannon, la exesposa de John Poulos –el señalado asesino de la colombiana Valentina Trespalacios–, ha preferido no dar detalles sobre las razones que llevaron a la ruptura legal de la pareja, en enero de 2021.(Lo invitamos a leer: Testimonio clave sobre viaje de Valentina por el que Poulos andaba preguntando)Sin embargo, autoridades de ese país han puesto los reflectores sobre el agente financiero de 35 años, quien tendrá que responder por feminicidio agravado y destrucción de evidencia.",John Poulos en BogotÃ¡.,https://eltiempo.com/unidad-investigativa/valentina-trespalacios-indagan-de-donde-saco-poulos-el-dinero-que-cargaba-737502
Escuche aquí al episodio:,"De izquierda a derecha: Vladdo, Mauricio Reina y Olga Helena FernÃ¡ndez.",https://eltiempo.com/podcast/audio-por-que-le-negaron-la-visa-a-alex-char-737513
"Una historia comenzó a viralizarse en las redes sociales en las últimas semanas. Se trata de un hombre que fue el extranjero a trabajar para comprarle una casa a su madre, pero al cabo del tiempo se percató que el dinero que enviaba a su progenitora no se estaba usando para ese propósito.(Siga leyendo: Regé Jean Page sería el hombre más lindo del mundo, según estudio).",HÃ©ctor RamÃ­rez se enterÃ³ que sus familiares estaban malgastando su dinero.,https://eltiempo.com/cultura/gente/hombre-enviaba-dinero-a-su-madre-para-comprarse-una-casa-ella-lo-presto-737562
"












Adolfo Pacheco Anillo

12:15 p. m. 




San Jacinto (Bolívar) se prepara para darle el último adiós a Adolfo Pacheco



El cuerpo del juglar de los Montes de María será trasladado para recib ...














Medellín

12:14 p. m. 




Investigan muerte de mujer que se desmayó en centro comercial de Medellín



Había viajado desde España a Colombia para realizarse intervenciones e ...
















Adolfo Pacheco Anillo

11:33 a. m. 




El mundo del folclor se despide del maestro Adolfo Pacheco Anillo















Video

11:26 a. m. 




¡Como la Mujer Araña! Empleada arriesga su vida para limpiar ventana en Medellín















Barranquilla

11:05 a. m. 




Fuertes vientos en Atlántico, autoridades hacen estas recomendaciones





",Gobierno prepara nuevo decreto para liberar a jóvenes ,https://eltiempo.com/bogota/citytv-emision-del-mediodia-fin-de-semana-del-28-de-enero-de-2023-737557
"Los investigadores del crimen de la DJ Valentina Trespalacios creen tener evidencia suficiente para demostrar que fue víctima de un feminicidio agravado y una de las piezas de la investigación es un viaje que la joven hizo a Aruba en 2022.(Lo invitamos a leer: Celular de Valentina Trespalacios estuvo a punto de ser vendido en $550.000)Una de sus amigas aseguró que Trespalacios le dijo a Poulos, a quien conoció un año antes, que iba a ir a un toque; sin embargo, una foto en redes sociales desató la ira del norte americano de 35 años.",Valentina Trespalacios fue hallada muerta dentro de una maleta.,https://eltiempo.com/unidad-investigativa/valentina-trespalacios-el-viaje-por-el-que-poulos-andaba-preguntando-737344
"Mientras caminaba por uno de los corredores del centro comercial Arkadia, en el suroccidente de Medellín, una mujer se desplomó y falleció minutos más tarde en la enfermería del establecimiento, donde le brindaban primeros auxilios. (Lo invitamos a leer: ¡Como la Mujer Araña! Empleada arriesga su vida para limpiar ventana en Medellín)Los hechos sucedieron en la mañana del 27 de enero. La mujer fue identificada como Yesenia Henao Montoya y, según informó El Colombiano, días atrás se había realizado varias intervenciones estéticas, por lo que las autoridades investigan si tuvo relación con el fallecimiento. ",Arkadia,https://eltiempo.com/colombia/medellin/investigan-muerte-de-mujer-que-se-desmayo-en-centro-comercial-de-medellin-737555
"En el 2022 se comercializaron 246.831 unidades de vivienda nueva en todo el territorio nacional, según cifras de la Cámara Colombiana de la Construcción (Camacol).Con el objetivo de que los compradores tomen decisiones acertadas, la startup inmobiliaria La Haus hizo un estudio para analizar cuáles fueron las zonas de mejor desempeño en las principales ciudades del país y qué puntos tienen la mayor valorización.(Puede leer también: La agonía de Coltejer: historia de la crisis de la emblemática compañía)",Laureles Estadio se ubicÃ³ como la zona con mejor desempeÃ±o inmobiliario de MedellÃ­n en el 2022.,https://eltiempo.com/economia/finanzas-personales/comprar-vivienda-las-zonas-que-mas-se-valorizaron-en-colombia-735038
"Los integrantes de la Expedición Antártica 2023 lograron su segundo cruce de Punta Arenas (Chile) hacia la Isla Rey Jorge en el continente blanco, enn un recorrido de 671 millas náuticas, unos 1.242 kilómetros por trayecto.Fueron tres horas de vuelo, con el viento en contra, pero con muchas expectativas; la primera dejar en la base científica de Chile, del Instituto Antártico Chileno, Inachi, a los cinco científicos colombianos que por más de un mes van a estudiar el cuerpo humano y su reacción en escenarios extremos como lo son las bajas temperaturas en este punto del globo terráqueo.(Por contexto, le sugerimos leer: La misión de 36 colombianos a la Antártica para investigar condiciones extremas)",TÃ©mpanos de hielo en la AntÃ¡rtida chilena.,https://eltiempo.com/justicia/servicios/antartida-canciller-alvaro-leyva-hace-propuesta-a-petro-durante-visita-737523
"Ennis, la camarera del lujoso conjunto residencial Kappadocia, ubicado en el norte de Bogotá, fue la primera en entrar al apartamento 802, donde horas antes Valentina Trespalacios, una joven DJ de 21 años, había sido estrangulada.(Le recomendamos leer: Celular de Valentina Trespalacios estuvo a punto de ser vendido en $550.000)La camarera le aseguró a la Fiscalía que el extranjero que rentó el apartamento había salido a las 11:45 de la mañana del domingo, 22 de enero, y que lo único que le llamó la atención es que tiró su ropa en el asiento del copiloto del carro en el que andaba, sacó un par de maletas y pidió más tiempo para entregar el lugar.",Valentina Trespalacios y John Poulos viajaron a CancÃºn en mayo de 2022.,https://eltiempo.com/unidad-investigativa/valentina-trespalacios-testimonios-revelan-que-estaba-en-la-mira-de-poulos-737494
"El próximo jueves 2 de febrero, en el marco de la semana de la Movilidad Sostenible, en Bogotá se decretó el primer día sin carro y sin moto del 2023. La restricción regirá de 5 de la mañana a 9 de la noche. Quienes incumplan la medida tendrán que pagar una multa de aproximadamente 15 salarios mínimos legales vigentes.La iniciativa se llevará a cabo en el margen del cumplimiento del decreto 1098 del 2000, que indica que el primer jueves de febrero de cada año se realiza el día sin carro ni moto. (Lea también: ‘Cambios en el metro los pagarían todos los colombianos’: gerente del proyecto)",César Melgarejo,https://eltiempo.com/bogota/en-el-dia-sin-carro-y-moto-en-bogota-los-hibridos-no-podran-circular-737463
"El español Junior Firpo y el colombiano Luis Sinisterra redondearon el triunfo ante el Accrington del Leeds (1-3), clasificado para los octavos de final de la Copa de Inglaterra que también alcanzó el Leicester que se impuso al Walsall (0-1) con un tanto del nigeriano Kelechi Iheanacho.",Sinisterra.,https://eltiempo.com/deportes/futbol-internacional/luis-sinisterra-golazo-con-el-leeds-e-hincha-se-mete-a-la-cancha-video-737556
El informe pericial de la joven de 23 años que acusa al jugador Daniel Alves de violación ya ha señalado indicios de agresión sexual.,Dani Alves.,https://eltiempo.com/deportes/futbol-internacional/dani-alves-duras-conclusiones-de-informe-medico-a-victima-de-abuso-sexual-737531
"












corneado

10:26 a. m. 




En primer día de corraleja, joven murió corneado por un toro en Magdalena



El hombre no calculó bien la distancia con el animal y fue embestido d ...














Corraleja

10:11 a. m. 




Hombre murió tras ser corneado en las corralejas de Bosconia (Cesar)



Víctima sufrió una herida al costado del abdomen y falleció cuando era ...
















Captura

09:53 a. m. 




Decomisan 4.500 huevos de iguana en la Zona Bananera















Urabá antioqueño

09:45 a. m. 




Bloqueos en vías tienen a 4 municipios del Urabá antioqueño sin gas natural















Vallenato

09:37 a. m. 




Falleció el juglar Adolfo Pacheco tras accidente de tránsito





","
Las fotos que deja la nueva expedición científica a la Antártica
",https://eltiempo.com/justicia/servicios/expedicion-cientifica-a-antartida-2023-fotos-del-continente-blanco-737538
"La colombiana Paula Durán falleció el pasado 24 de enero. Su esposo, Sergio Vega, ha compartido diferentes momentos que vivieron juntos, entre esos, una conmovedora carta que le escribió Durán el día de su boda.",Tres pÃ¡rrafos llenos de amor escritos por Paula DurÃ¡n a Sergio vega.,https://eltiempo.com/cultura/gente/carta-que-paula-duran-le-escribio-a-su-esposo-sergio-vega-el-dia-de-su-boda-737261
"El video es aterrador. Nuestro señor y salvador Jesucristo se retuerce en perpetua agonía en la cruz. Su martirio no está adornado por los ojos en éxtasis de algunas pinturas barrocas o con el heroísmo de rockstar de Diego Velázquez en el Museo del Prado. 'El Cristo', del artista inglés Mat Collishaw, es un Cristo humano y desgarrado; su martirio –en la obra Shakin’ Jesus– se extiende durante cuatro largos minutos. El video -en el segundo piso del Mambo- está en una pantalla vertical a dos metros de altura. Y mientras se mira hacia arriba solo puede pedirse en voz baja que se acabe el horror.",El Cristo del artista inglÃ©s Mat Collishaw.,https://eltiempo.com/cultura/arte-y-teatro/sexo-arte-video-y-una-crucifixion-en-el-mambo-de-bogota-737346
"Regé Jean Page se ha vuelto mundialmente famosos por su interpretación de ‘Simmon Basset' en la serie de Netflix Bridgerton, la cual ostentó ser una de las producciones más vistas de todos los tiempos en esta plataforma durante dos años hasta que llegaron el ‘Juego del calamar’, ‘Stranger Things’ y las últimas temporadas de la ‘Casa de papel’.(Siga leyendo: Los malos hábitos que le restan años de vida).",RegÃ©-Jean Page en la primera temporada de Bridgerton,https://eltiempo.com/cultura/gente/rege-jean-page-es-el-hombre-mas-lindo-del-mundo-segun-la-ciencia-737534
"¡De no creer! En video quedó registrado el momento en que un ladrón ingresa a la estación de bomberos del barrio Garcés Navas, en Bogotá, para llevarse una bicicleta que se encontraba en el garaje de vehículos. El hecho ocurrió en la noche del pasado viernes 27 de enero, mientras los agentes salían a atender una contingencia. (Siga leyendo: John Poulos habría estrangulado a la DJ luego de brutal golpiza).",Momento en que el ladrÃ³n toma la bicicleta,https://eltiempo.com/bogota/video-bomberos-en-bogota-fueron-robados-en-un-descuido-737552

