uid,body,title,url,newspaper_uid,host,n_tokens_title,n_tokens_body
a653e5140b1c45ce34ed2f5ec6098ba4,Escuche aquí nuestro programa 'El primer café' del 26 de enero de 2023:,Alemania anunciÃ³ que entregarÃ¡ a Ucrania 14 tanques.,https://eltiempo.com/podcast/el-primer-cafe/guerra-en-ucrania-como-responde-rusia-al-envio-de-tanques-de-alemania-736906,eltiempo,eltiempo.com,3,6
2ee3fa120ad5bbd4283e5255b228e90f,"""El presidente Gustavo Petro ha solicitado una investigación interna sobre los hechos ocurridos en el Congreso de la República, tanto en la legislatura actual como en las anteriores"", indicó la Presidencia de la República en un comunicado difundido este jueves (26 de enero).La anterior es solo la primera de las cinco acciones que anunció el Gobierno frente a la denuncia de una presunta red de abuso sexual en el Legislativo que realizó el exsenador Gustavo Bolívar.(Le puede interesar: ¿Qué se sabe de las denuncias de acoso sexual en el Congreso?).",César Melgarejo. EL TIEMPO,https://eltiempo.com/politica/gobierno/presidencia-anuncio-acciones-tras-la-denuncia-del-exsenador-gustavo-bolivar-737121,eltiempo,eltiempo.com,3,45
8fcaff19a0114ee5e0f9bab048b7318e,"Jugar contra Argentina siempre será exigente, en cualquier categoría, y en esta ocasión el duelo será clave porque se da en el Sudamericano Sub-20, con un cupo en juego para el hexagonal final. La Selección Colombia llega motivada, por el gran partido que hizo contra Brasil (1-1), pero tiene la baja de su mejor hombre, de su capitán y estandarte, el volante Gustavo Puerta. La tarea será suplir su ausencia.",SelecciÃ³n Colombia sub-20.,https://eltiempo.com/deportes/futbol-internacional/seleccion-colombia-vs-argentina-previo-en-sudamericano-sub-20-737188,eltiempo,eltiempo.com,1,34
a9dd06c3ef4600ca5d4f3675977f273a,"En la mayoría de personas, la reacción es casi la misma: ante la ausencia de comida, la ira se va abriendo camino en el organismo. ¿Quién no ha sentido que las palpitaciones del corazón se aceleran, la respiración se entrecorta y la irascibilidad se apodera del cuerpo cuando se tiene hambre? Si no lo ha experimentado, de seguro conoce a alguien que sí, pues esta respuesta emocional es más común de lo que cree. Aunque, en ocasiones, la irritabilidad asociada al hambre se toma como un mito, la realidad es que detrás de esa creencia popular se esconde una realidad científica: la falta de comida en el organismo puede llegar a afectar el comportamiento y a transformar las emociones de los individuos. ",El cambio de emociones y comportamientos ante la falta de alimento tiene una base cientÃ­fica.,https://eltiempo.com/vida/ciencia/mal-genio-por-que-da-cuanto-tenemos-hambre-esto-dice-la-ciencia-736448,eltiempo,eltiempo.com,6,55
9c04c265589178cbae284203215bc8d3,"El periodista Diego Guaque cada domingo ha llevado a la pantalla de la televisión reportajes, crónicas e investigaciones que han permitido entender la realidad del país. Como parte del equipo de ‘Séptimo Día’, ha hecho carrera: su imagen y su voz son reconocidas por cientos de televidentes.","Diego Guauque, periodista.",https://eltiempo.com/salud/diego-guauque-que-es-un-sarcoma-y-cuales-son-sus-sintomas-737084,eltiempo,eltiempo.com,3,26
7d31ea5eceab31b24ec944c57f09e4a6,"Desde Duitama, en Boyacá, donde sostuvo un encuentro con líderes de juntas de acción comunal, el presidente Gustavo Petro anunció que  en estos meses que vienen se van a presentar las reformas fundamentales del Gobierno del Cambio en pensiones, salud, laboral y servicios públicos, entre otras.Le puede interesar: 'Retroceso': reacción de Andesco, gremio de servicios públicos, a anuncio Petro“Lo que hoy arranca, en la fase de este Gobierno, es presentar las reformas al Congreso de la República para volver a garantizar los derechos” de los colombianos y las colombianas, derechos que están en la Constitución.",El presidente Gustavo Petro en Duitama,https://eltiempo.com/politica/gobierno/petro-las-reformas-fundamentales-que-alista-el-gobierno-737191,eltiempo,eltiempo.com,4,49
1a06fd19a84cf5991e30505699ce657c,"James Rodríguez volvió a hablar. El '10' colombiano, que juega actualmente en el Olympiacos de Grecia, apareció este jueves en una transmisión en Twitch de Ricardinho, popular jugador portugués de fútbol sala, para referirse a distintos temas de su carrera.",Colombia-Paraguay. Segundo tiempo. Cero a cero en estadio Metropolitano de Barranquilla.,https://eltiempo.com/deportes/futbol-internacional/james-rodriguez-revela-pelea-en-seleccion-colombia-y-salida-de-everton-737049,eltiempo,eltiempo.com,7,23
4682a68df7d39f808659c83bb2a5097c,"La cineasta venezolana Patricia Ortega compite en el festival de Cine de Sundance con ‘Mamacruz’, un filme protagonizado por la española Kiti Mánver que explora la sexualidad en la tercera edad y con el que la realizadora explica que “ha podido vengar” a su abuela (Con la película) Yo vengué a mi abuela (...) Este es el orgasmo que mi abuela no tuvo"", dijo Ortega en una entrevista sobre el filme que compite en el apartado a mejor película internacional.",Kiti MÃ¡nver y la directora Patricia Ortega unieron fuerzas en esta cinta que habla de sensualidad.  ,https://eltiempo.com/cultura/cine-y-tv/mamacruz-los-orgasmos-de-la-tercera-edad-737085,eltiempo,eltiempo.com,9,37
7124eb77fda288406ae49da1e45bcca9,"Sobre las 9:30 a. m. del jueves comenzó en Ibagué la audiencia única de verdad de la que depende que la Jurisdicción Especial para la Paz (JEP) le abra las puertas, o se las cierre definitivamente, al exjefe paramilitar Rodrigo Tovar Pupo, alias Jorge 40.(Lea también: JEP escuchará a 'Jorge 40' en audiencia para determinar si lo admite).La diligencia comenzó con una advertencia de la magistratura de la JEP a Tovar sobre que, si no aporta verdad más allá de lo ya probado en la justicia ordinaria que demuestre que fue un ‘sujeto incorporado funcional y materialmente a la fuerza pública’ y que actuó como una bisagra entre el aparato oficial y los paramilitares, no será admitido.",Alias Jorge 40 en audiencia de la JEP desde IbaguÃ©.,https://eltiempo.com/justicia/jep-colombia/audiencia-de-jorge-40-en-la-jep-para-definir-si-lo-admiten-736991,eltiempo,eltiempo.com,4,55
36b6f8871c95bc63625f6c89e8f3b510,"Este jueves, luego de que la Unidad de Datos de EL TIEMPO publicara que el presidente Gustavo Petro y la vicepresidenta Francia Márquez aún no habían publicado su declaración de renta, el Jefe de Estado  hizo pública la correspondiente a 2021, de acuerdo a los términos de ley, en el Aplicativo para la Integridad Pública. Sin embargo, la vicepresidenta, Francia Márquez, aún tiene esa tarea pendiente. La norma es muy clara. Desde el año 2019 todos los altos funcionarios estatales, incluidos el Presidente, la Vicepresidenta, senadores y representantes a la Cámara, deben hacer públicas sus declaraciones de bienes, su impuesto sobre la renta y el registro de posibles conflictos de interés.  Le puede interesar: ¿A quiénes les aumentarán sus impuestos y a quiénes se les reducirán?",A la izq. el presidente Gustavo Petro y la der. la vicepresidenta Francia MÃ¡rquez.,https://eltiempo.com/datos/declaracion-de-renta-de-gustavo-petro-y-francia-marquez-735451,eltiempo,eltiempo.com,7,63
bf3d97d65123fb17ad850dd566e8e5de,"Recuperar la facultad presidencial para asumir el control y las políticas generales de la administración de servicios públicos en Colombia fue el anuncio que hizo este jueves el presidente Gustavo Petro durante su diálogo con los líderes de las Juntas de Acción Comunal de Duitama (Boyacá).""Este presidente ha decidido no delegar las funciones en las comisiones de regulación de servicios públicos, al menos por un tiempo, y entonces voy a asumir el control y la políticas generales de la administración de servicios públicos en Colombia directa y personalmente"" fueron las palabras de Petro que generaron la reacción de distintos sectores políticos.(Le puede interesar: Petro dice que asumirá funciones de comisiones reguladoras de servicios públicos).",Plenaria de la CÃ¡mara de Representantes.,https://eltiempo.com/politica/gobierno/gustavo-petro-reacciones-a-anuncio-de-regular-tarifas-de-servicios-737185,eltiempo,eltiempo.com,2,63
